#Id|Instrument Name |Type|Band       |Telescope         |Homepage                                                                                                            |Remarks                                                                                                                                                                                 |Last Modified|Modified By
96 |Hectospec       |spec|optical    |MMT               |http://www.cfa.harvard.edu/mmti/hectospec.html                                                                      |                                                                                                                                                                                        |2011-11-02   |admin      
97 |ACAM            |both|optical    |WHT-4.2m          |http://www.ing.iac.es/astronomy/instruments/acam/                                                                   |                                                                                                                                                                                        |2011-11-16   |ofer       
98 |MMT-Red         |spec|optical    |MMT               |http://www.mmto.org/node/53                                                                                         |                                                                                                                                                                                        |2012-03-29   |admin      
99 |UV Schmidt      |spec|optical    |Lick 3m           |http://mthamilton.ucolick.org/techdocs/instruments/                                                                 |Predecessor of the Kast spectrograph                                                                                                                                                    |2012-05-03   |admin      
100|ESI             |both|optical    |Keck2             |http://www2.keck.hawaii.edu/inst/esi/overview.html                                                                  |                                                                                                                                                                                        |2012-05-03   |admin      
101|OSIRIS          |both|optical    |GTC               |http://www.gtc.iac.es/en/pages/instrumentation/osiris.php                                                           |                                                                                                                                                                                        |2012-07-05   |ofer       
102|GALEX           |spec|uv         |GALEX             |http://www.galex.caltech.edu/index.html                                                                             |                                                                                                                                                                                        |2012-07-23   |aryehf     
103|CFH12k          |phot|optical    |P48               |http://www.astro.caltech.edu/palomar/P48observers.html                                                              |                                                                                                                                                                                        |2012-09-02   |admin      
104|P60 Camera      |phot|optical    |P60               |http://www.astro.caltech.edu/palomar/60inch.html                                                                    |                                                                                                                                                                                        |2012-09-02   |admin      
105|FS01            |phot|optical    |FTS               |                                                                                                                    |                                                                                                                                                                                        |2012-09-02   |admin      
106|Carelec         |spec|optical    |OHP-1.93m         |http://www.obs-hp.fr/telescopes.shtml                                                                               |decommissioned on 27/1/12                                                                                                                                                               |2012-09-03   |admin      
107|YFOSC           |both|optical    |Lijiang-2.4m      |                                                                                                                    |Yunnan Faint Object Spectrograph & Camera                                                                                                                                               |2012-09-03   |admin      
108|FLOYDS-N        |spec|optical    |FTN               |http://lcogt.net/press/floyds2012                                                                                   |                                                                                                                                                                                        |2013-10-20   |ofer       
109|P200-TSPEC      |spec|ir         |P200              |http://www.astro.caltech.edu/palomar/200inch/TSpec/TSpec_spec.html                                                  |Triple Spectrograph                                                                                                                                                                     |2015-03-29   |ofer       
110|EM01            |phot|optical    |FTN               |                                                                                                                    |                                                                                                                                                                                        |2012-09-10   |admin      
112|FS02            |phot|optical    |FTN               |                                                                                                                    |                                                                                                                                                                                        |2012-09-10   |admin      
113|CCD-MLO         |phot|optical    |MLO-1m            |                                                                                                                    |                                                                                                                                                                                        |2012-09-10   |admin      
114|C18-Camera      |phot|optical    |Wise-C18          |                                                                                                                    |                                                                                                                                                                                        |2012-09-10   |admin      
