# sample xephem sites file.
#
# The format of this file is compatable with the xsat program and the
# cities included here are from the sample included therewith. Xsat included
# the following notice:
#
#   Copyright 1992 by David A. Curry
#
#   Permission to use, copy, modify, distribute, and sell this software and its
#   documentation for any purpose is hereby granted without fee, provided that
#   the above copyright notice appear in all copies and that both that copyright
#   notice and this permission notice appear in supporting documentation.  The
#   author makes no representations about the suitability of this software for
#   any purpose.  It is provided "as is" without express or implied warranty.
#
# Most of the observatory sites are transcribed, with permission, from the table
# beginning on page 28 in the July 1993 issue of Sky and Telescope. Any 
# descrepencies or unfaithful interpretations of the information provided
# therein are strictly the fault of the author of xephem.
#
# The following description of the format of this file is extracted from the
# xsat software. All lines not conforming to the following description are
# silently ignored.
#
# The first column contains the name of the site, up to the first semicolon.
#
# The second column gives the latitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a N or S to indicate north or
# south of the equator.  If you don't know the value for seconds,
# use "00".
#
# The third column gives the longitude of the city in degrees (DDD),
# minutes (MM), and seconds (SS), and a E or W to indicate east or
# west of the prime meridian in Greenwich, England.  If you don't
# know the value for seconds, use "00".
#
# The fourth column gives the elevation of the city in meters.  If you
# do not know your elevation, use a "-1.0".  This will throw the math
# off a bit, but should be usable unless you're on a mountain top.
#
# Information for cities in the United States is taken from the World
# Almanac, 1990.  Information for cities outside the United States is
# gleaned from the UUCP map database, and hence may or may not be
# correct.
#
# If your site is not listed in the table below, you can try consulting
# an atlas, almanac, or gazeteer for the information.  Or, you could
# call the local airport; they ought to know.
# 
# City, State or Country, or site name  ; Latitude      ; Longitude     ; Elev
#
Chattanooga, Tennessee                  ;  35  2 41 N   ;  85 18 32 W   ; 205.7
Cheyenne, Wyoming                       ;  41  8  9 N   ; 104 49  7 W   ;1859.3
Chicago, Illinois                       ;  41 52 28 N   ;  87 38 22 W   ; 181.4
Cincinnatti, Ohio                       ;  39  6  7 N   ;  84 30 35 W   ; 271.6
Cleveland, Ohio                         ;  41 29 51 N   ;  81 41 50 W   ; 201.2
Cologne, Germany                        ;  50 53  0 N   ;  06 58  0 E   ;  -1.0
Colorado Springs, Colorado              ;  38 50  7 N   ; 104 49 16 W   ;1822.7
Columbia, Missouri                      ;  38 57  3 N   ;  92 19 46 W   ; 222.5
Columbia, South Carolina                ;  34  0  2 N   ;  81  2  0 W   ;  57.9
Columbus Project                        ;  32 42  0 N   ; 109 51  0 W   ;3170
Columbus, Georgia                       ;  32 28  7 N   ;  84 59 24 W   ;  80.8
Columbus, Ohio                          ;  39 57 47 N   ;  83  0 17 W   ; 237.8
Concord, New Hampshire                  ;  43 12 22 N   ;  71 32 25 W   ;  88.4
Corpus Christi, Texas                   ;  27 47 51 N   ;  97 23 45 W   ;  10.7
Crete, Greece                           ;  35 20  0 N   ;  25  9  0 E   ;  -1.0
Crimean Astrophysical Obs.              ;  44 44  0 N   ;  34  0  0 E   ;  -1
Dallas, Texas                           ;  32 47  9 N   ;  96 47 37 W   ; 132.6
Darwin, NT, Australia                   ;  12 24 58 S   ; 130 52 53 E   ;  100
Davenport, Iowa                         ;  41 31 19 N   ;  90 34 33 W   ; 179.8
