Status,OID,Name,Agency Representative,Abbreviation,Aliases,Operating Location,Expected Launch Date,Expected Mission End Date,Transmitting Frequency Bands,Special Request,Simulator,Family,Protocols,Other Protocols,Description,More Info,Requestor Contact,Requestor Organization,Notes,References,Created By,Creation date,Updated By,Update date
Assigned,1.3.112.4.7.241,ASTRA 1K,Nicolas Bobrinsky  [European Space Agency],ASTRA-1K,[],,2001-05,,"TC: 11692.5 MHz, 14010.5 MHz, 14252.5 MHz;TLM: 11692.5 MHz, 14010.5 MHz, 14252.5 MHz;",,False,CCSDS Standard,[],[],Telecommunications Satellite,,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.538877+00:00
Assigned,1.3.112.4.7.242,NEAR,Joseph Deskevich  [National Aeronautics and Space Administration],NEAR,[],,,,"TC: 7181.9621;TLM: 8435.0864, 8435.3703;",,False,CCSDS Standard,[],[],Near Earth Asteroid Rendezvous/Shoemaker (Discovery Program 1),https://nssdc.gsfc.nasa.gov/planetary/near.html,1.3.112.4.2.62,1.3.112.4.1.19.1,,[],1.3.112.4.2.62,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.552653+00:00
Assigned,1.3.112.4.7.243,OERSTED,Hans K. Uhrig  [European Space Agency],OERSTED,[],,,,TC: S-Band;TLM: S-Band;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.1,1.3.112.4.1.86,,[],1.3.112.4.2.1,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.566517+00:00
Assigned,1.3.112.4.7.244,OERSTED-SIM,Hans K. Uhrig  [European Space Agency],OERSTED-SIM,[],,,,TC: S-Band;TLM: S-Band;,,True,CCSDS Standard,[],[],,,1.3.112.4.2.1,1.3.112.4.1.86,,[],1.3.112.4.2.1,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.580022+00:00
Assigned,1.3.112.4.7.245,ENVISAT,Hans K. Uhrig  [European Space Agency],ENVISAT,[],,,,"TLM: Ka-Band, X-Band;",,False,CCSDS Standard,[],[],,http://envisat.esa.int/,1.3.112.4.2.61,1.3.112.4.1.12,,[],1.3.112.4.2.61,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.593095+00:00
Assigned,1.3.112.4.7.246,CONTOUR,Badri Younes  [NASA Goddard Space Flight Center],CONTOUR,[],,,,TC: 7183.17 MHz;TLM: 8439.48 MHz;,,False,CCSDS Standard,[],[],Comet Nucleus Tour,http://www.contour2002.org/,1.3.112.4.2.69,1.3.112.4.1.19,,[],1.3.112.4.2.69,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.606324+00:00
Assigned,1.3.112.4.7.247,RADARSAT,W. E. Threinen  [Canadian Space Agency],RADARSAT,[],,1994-12,,TC: 2025-2110 MHz;TLM: 8025-8400 MHz (also 2200-2290 MHz);,,False,CCSDS Standard,[],[],Earth Observation Satellite,http://www.asc-csa.gc.ca/eng/satellites/radarsat1/default.asp,1.3.112.4.2.88,1.3.112.4.1.10,,[],1.3.112.4.2.88,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.621811+00:00
Assigned,1.3.112.4.7.248,MAVEN,Roger D. Porter  [NASA Goddard Space Flight Center],MAVEN,[],,2013,,TC: 7175.0 MHz (X-Band);TLM: 8439.0 MHz (X-Band);,,False,CCSDS Standard,[],[],,http://www.nasa.gov/centers/langley/news/researchernews/rn_mars.html,1.3.112.4.2.63,1.3.112.4.1.19.1,,[],1.3.112.4.2.63,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.634705+00:00
Assigned,1.3.112.4.7.249,DAWN Fl,Roger D. Porter  [NASA Goddard Space Flight Center],DAWN-Fl,[],,,,TC: 7179.650463 MHz;TLM: 8435.370370 MHz;,,False,CCSDS Standard,[],[],Meteorite Explorer,http://dawn.jpl.nasa.gov/,1.3.112.4.2.63,1.3.112.4.1.19,,[],1.3.112.4.2.63,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.646645+00:00
Assigned,1.3.112.4.7.250,EOS-AURA,Badri Younes  [NASA Goddard Space Flight Center],EOS-AURA,[],,,,TC: 2106.4025 MHz;TLM: 2287.5 MHz;,,False,CCSDS Standard,[],[],EOS Chemistry Mission (EOS CHEM-1),http://directory.eoportal.org/pres_AURA.html,1.3.112.4.2.69,1.3.112.4.1.19,,[],1.3.112.4.2.69,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:11.660602+00:00
