Status,OID,Name,Agency Representative,Abbreviation,Aliases,Operating Location,Expected Launch Date,Expected Mission End Date,Transmitting Frequency Bands,Special Request,Simulator,Family,Protocols,Other Protocols,Description,More Info,Requestor Contact,Requestor Organization,Notes,References,Created By,Creation date,Updated By,Update date
Assigned,1.3.112.4.7.625,MTG-I1,Markus Dreis  [European Organization for the Exploitation of Meteorological Satellites],MTG-I1,[],,2018,,"TC: 2075.0979 MHz;TLM: 2253.5 MHz, 2243.5 MHz, 2246.5 MHz, 2258.5 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.40,1.3.112.4.1.37,,[],1.3.112.4.2.40,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.196627+00:00
Assigned,1.3.112.4.7.626,MTG-S1,Markus Dreis  [European Organization for the Exploitation of Meteorological Satellites],MTG-S1,[],,2020,,"TC: 2065.8896 MHz;TLM: 2243.5 MHz, 2247.5 MHz, 2251.5 MHz, 2256.5 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.40,1.3.112.4.1.37,,[],1.3.112.4.2.40,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.210732+00:00
Assigned,1.3.112.4.7.627,MTG-I2,Markus Dreis  [European Organization for the Exploitation of Meteorological Satellites],MTG-I2,[],,2022,,"TC: 2070.4938 MHz;TLM: 2248.5 MHz, 2242.5 MHz, 2245.5 MHz, 2254.5 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.40,1.3.112.4.1.37,,[],1.3.112.4.2.40,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.224633+00:00
Assigned,1.3.112.4.7.628,MTG-I3,Markus Dreis  [European Organization for the Exploitation of Meteorological Satellites],MTG-I3,[],,2025,,"TC: 2075.0579 Mhz;TLM: 2253.5 MHz, 2246.5 MHz, 2250.5 MHz, 2257.5 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.40,1.3.112.4.1.37,,[],1.3.112.4.2.40,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.239157+00:00
Assigned,1.3.112.4.7.629,MTG-S2,Markus Dreis  [European Organization for the Exploitation of Meteorological Satellites],MTG-S2,[],,2027,,"TC: 2079.7021 MHz;TLM: 2258.5 MHz, 2244.5 MHz, 2247.5 MHz, 2251.5 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.40,1.3.112.4.1.37,,[],1.3.112.4.2.40,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.257251+00:00
Assigned,1.3.112.4.7.630,MTG-I4,Markus Dreis  [European Organization for the Exploitation of Meteorological Satellites],MTG-I4,[],,2030,,"TC: 2070.4938 MHz;TLM: 2248.5 MHz, 2242.5 MHz, 2245.5 MHz, 2254.5 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.40,1.3.112.4.1.37,,[],1.3.112.4.2.40,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.270771+00:00
Assigned,1.3.112.4.7.631,CHINASAT 6B,Mr. Heping Zhao  [China Academy of Space Technology],CHINASAT-6B,[],,2007-06,,"TC: 5.855 GHz (V), 5.860 GHz (H);TLM: 3.701 GHz (V), 4.199 GHz (H);",,False,CCSDS Standard,[],[],Telecommunication Satellite,,1.3.112.4.2.33,1.3.112.4.1.33,,[],1.3.112.4.2.33,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.284813+00:00
Assigned,1.3.112.4.7.632,"CHINASAT 6B,sim",Mr. Heping Zhao  [China Academy of Space Technology],CHINASAT-6Bsim,[],,2007-07,,TC: NA - ground use only;TLM: NA - ground use only;,,True,CCSDS Standard,[],[],,,1.3.112.4.2.33,1.3.112.4.1.33,,[],1.3.112.4.2.33,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.298625+00:00
Assigned,1.3.112.4.7.633,CASSIOPE,Mr Leo Hartman  [Canadian Space Agency],CASSIOPE,[],Near Earth,2007-09,,"TC: 2231.5 MHz, 2054.84 MHz;TLM: 2231.5 MHz, 2054.84 MHz;",,False,CCSDS Standard,[],[],Cascade SmallSat and Ionospheric Polar Explorer,http://www.asc-csa.gc.ca/eng/satellites/cassiope.asp,1.3.112.4.2.10,1.3.112.4.1.10,,[],1.3.112.4.2.10,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.312241+00:00
Assigned,1.3.112.4.7.634,ARSAT-2,William Horne  [NASA Goddard Space Flight Center],ARSAT-2,[],,2013-05,,"TC: 14497 MHz (TK1), 14001 MHz (TK2);TLM: 11706 MHz (BK2), 12197 MHz (BK1), 3700.25 MHz (BC2), 4195 MHz (BC1);",,False,CCSDS Standard,[],[],,,1.3.112.4.2.134,1.3.112.4.1.95,,[],1.3.112.4.2.134,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.325000+00:00
Assigned,1.3.112.4.7.635,T-1,Mr. Scott Galbraith  [National Aeronautics and Space Administration],T-1,[],Near Earth,2015,,TC: 2210.769 MHz;TLM: 2210.769 MHz;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.135,1.3.112.4.1.96,,[],1.3.112.4.2.135,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.338680+00:00
Assigned,1.3.112.4.7.636,X-SAT,Roger D. Porter  [NASA Goddard Space Flight Center],X-SAT,[],,2008 - NA,,TC: 2035.75 MHz;TLM: 2210.769 MHz;,,False,CCSDS Standard,[],[],Singapore X-Sat,http://www.sarc.eee.ntu.edu.sg/Research/Projects/Pages/XSAT.aspx,1.3.112.4.2.63,1.3.112.4.1.19.1,,[],1.3.112.4.2.63,2017-05-30 13:42:37+00:00,,2021-05-14 17:58:17.352549+00:00
Assigned,1.3.112.4.7.637,IBEX,Roger D. Porter  [NASA Goddard Space Flight Center],IBEX,[],,,,TC: 2037.712 MHz;TLM: 2212.9 MHz;,,False,CCSDS Standard,[],[],Interstellar boundary exploration mission,http://www.ibex.swri.edu/,1.3.112.4.2.63,1.3.112.4.1.19.1,,[],1.3.112.4.2.63,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.366091+00:00
Assigned,1.3.112.4.7.638,ST8,Roger D. Porter  [NASA Goddard Space Flight Center],ST8,[],,,,TC: 2092.197792 MHz;TLM: 2272.07 MHz;,,False,CCSDS Standard,[],[],Space technology validation mission,,1.3.112.4.2.63,1.3.112.4.1.19.1,,[],1.3.112.4.2.63,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.378499+00:00
Assigned,1.3.112.4.7.639,EUCLID,Manfred Lugert  [European Space Agency],EUCLID,[],,2020-12-01,,"TC: 7196.3580;TLM: 26240, 8455.0000;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.392357+00:00
Assigned,1.3.112.4.7.640,AMOS 6,Manfred Lugert  [European Space Agency],AMOS-6,[],,2015-01,,"TC: 13.9140 GHz; 13.9160 GHz;TLM: 11.1985 GHz, 11.6988 GHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.136,1.3.112.4.1.97,,[],1.3.112.4.2.136,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.412017+00:00
Assigned,1.3.112.4.7.641,PRISMA,Lennart Marcus  [Swedish Space Corporation],PRISMA,[],,Spring2009,,TC: 2028 MHz;TLM: 2214 MHz;,,False,CCSDS Standard,[],[],Prototype Research Instruments and Space Mission technology Advancement,http://www.ssc.se/?id=7611,1.3.112.4.2.101,1.3.112.4.1.50,,[],1.3.112.4.2.101,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.425770+00:00
Assigned,1.3.112.4.7.642,TURKSAT 3A,Nicolas Bobrinsky  [European Space Agency],TURKSAT-3A,[],,2008-03,,"TC: 14002 MHz, 14166 MHz;TLM: 11698.5 MHz, 11699.5 MHz, 11120 MHz;",,False,CCSDS Standard,[],[],Telecommunications Satellite,,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.438824+00:00
Assigned,1.3.112.4.7.643,"TURKSAT3A,sim",Nicolas Bobrinsky  [European Space Agency],TURKSAT3Asim,[],,2008-03,,"TC: 14002 MHz, 14166 MHz;TLM: 11698.5 MHz, 11699.5 MHz, 11120 MHz;",,True,CCSDS Standard,[],[],,,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.451837+00:00
Assigned,1.3.112.4.7.644,AMOS 3,Moshe Galili  [Ministry of Communications],AMOS-3,[],,The end of 2007,,"TC: 12.75-13.25, 13.75-14.5, 28.9-30 GHz;TLM: 10.7-11.7, 19.2-20.4 GHz;",,False,CCSDS Standard,[],[],Telecommunications Satellite,,1.3.112.4.2.48,1.3.112.4.1.44,,[],1.3.112.4.2.48,2017-05-30 13:42:37+00:00,,2021-05-14 17:58:17.465747+00:00
Assigned,1.3.112.4.7.645,TSU 3,Lennart Marcus  [Swedish Space Corporation],TSU-3,[],,,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.101,1.3.112.4.1.50,,[],1.3.112.4.2.101,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.479473+00:00
Assigned,1.3.112.4.7.646,ASTRA-5B,Mr. Jean-Marc Soula  [Centre National d'Etudes Spatiales],ASTRA-5B,[],,2014-01,,TC: Ku-Band;TLM: Ku-Band;,,False,CCSDS Standard,[],[],,http://space.skyrocket.de/index_frame.htm?http://space.skyrocket.de/doc_sdat/astra-2e.htm,1.3.112.4.2.11,1.3.112.4.1.8,,[],1.3.112.4.2.11,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.493763+00:00
Assigned,1.3.112.4.7.647,CIEL-2,Nicolas Bobrinsky  [European Space Agency],CIEL-2,[],,2008-07,,"TC: 17308 MHz, 17793.5 MHz;TLM: 12205 MHz, 12209 MHz, 12692.5 MHz, 12698.5 MHz;",,False,CCSDS Standard,[],[],Telecommunications Satellite,,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.506098+00:00
Assigned,1.3.112.4.7.648,ARABSAT 6B,Mr. Jean-Marc Soula  [Centre National d'Etudes Spatiales],ARABSAT-6B,[],,2015-Q3,,TC: KU-Band;TLM: Ku-Band;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.11,1.3.112.4.1.8,,[],1.3.112.4.2.11,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.519771+00:00
Assigned,1.3.112.4.7.649,TURKMENISTANNSSC,Manfred Lugert  [European Space Agency],TURKMENISTANNSSC,[],,2014-01-11–2015-01-31,,"TC: 13248 MHz, 13249.5MHz;TLM: 11201 MHz, 11449 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.533186+00:00
Assigned,1.3.112.4.7.650,ABS-2,William Horne  [NASA Goddard Space Flight Center],ABS-2,[],,2013-07,,"TLM: 4.18325 GHz, 4.18425 GHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.137,1.3.112.4.1.93,,[],1.3.112.4.2.137,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.547633+00:00
Assigned,1.3.112.4.7.651,GRACE-FO-A,Martin Pilgram  [Deutsche Zentrum für Luft- und Raumfahrt],GRACE-FO-A,[],Near Earth,2017-08-05,,TC: 2211.0 MHz;TLM: 2211.0 MHz;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.90,1.3.112.4.1.11,,[],1.3.112.4.2.90,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.561508+00:00
Assigned,1.3.112.4.7.652,GRACE-FO-B,Martin Pilgram  [Deutsche Zentrum für Luft- und Raumfahrt],GRACE-FO-B,[],Near Earth,2017-08-05,,TC: 2260.8 MHz;TLM: 2260.8 MHz;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.90,1.3.112.4.1.11,,[],1.3.112.4.2.90,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.575310+00:00
Assigned,1.3.112.4.7.653,GRACE-FO -sim,Martin Pilgram  [Deutsche Zentrum für Luft- und Raumfahrt],GRACE-FO-sim,[],Near Earth,2017-08-05,,"TC: 2211.0 MHz (A), 2260.8 MHz (B);TLM: 2211.0 MHz (A), 2260.8 MHz (B);",,True,CCSDS Standard,[],[],,,1.3.112.4.2.90,1.3.112.4.1.11,,[],1.3.112.4.2.90,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.587716+00:00
Assigned,1.3.112.4.7.654,GOES-U(A),Roger D. Porter  [NASA Goddard Space Flight Center],GOES-UA,[],,2019,,"TC: 2034.200 MHz, 2036.000 MHz;TLM: 8220.000 MHz,  1696.300 MHz, 2211.04 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.63,1.3.112.4.1.19,,[],1.3.112.4.2.63,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.600209+00:00
Assigned,1.3.112.4.7.655,EUTELSAT 8WB,Manfred Lugert  [European Space Agency],EUTELSAT-8WB,[],,2015,,"TC: 11199.500 MHz or 11200.5 MHz, 12500.500 MHz or 12501.000 MHz;TLM: 11199.500 MHz or 11200.5 MHz, 12500.500 MHz or 12501.000 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.614408+00:00
Assigned,1.3.112.4.7.656,CSO-Stests,Mr. Jean-Marc Soula  [Centre National d'Etudes Spatiales],CSO-Stests,[],,2016,,TC: S-Band;TLM: S-Band;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.11,1.3.112.4.1.8,,[],1.3.112.4.2.11,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.628488+00:00
Assigned,1.3.112.4.7.657,GOES-U(B),Roger D. Porter  [NASA Goddard Space Flight Center],GOES-UB,[],,2019,,"TC: 2034.200 MHz, 2036.000 MHz;TLM: 8220.000 MHz,  1596.300 MHz, 2211.04 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.63,1.3.112.4.1.19,,[],1.3.112.4.2.63,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.641089+00:00
Assigned,1.3.112.4.7.658,STAR ONE C2(Sim),Nicolas Bobrinsky  [European Space Agency],STAR-ONE-C2Sim,[],,2007-04,,,,True,CCSDS Standard,[],[],,,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.654400+00:00
Assigned,1.3.112.4.7.659,SICRAL 1B,Ms Loredana Bruca  [Agenzia Spaziale Italiana],SICRAL-1B,[],,2007,,TC: 2063.550 MHz;TLM: 2240.959 MHz;,,False,CCSDS Standard,[],[],Sistema Italiano per Comunicazioni Riservate ed Allarmi 1B,,1.3.112.4.2.6,1.3.112.4.1.5,,[],1.3.112.4.2.6,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.668631+00:00
Assigned,1.3.112.4.7.660,NIMIQ-4,Nicolas Bobrinsky  [European Space Agency],NIMIQ-4,[],,2008-Q2,,"TC: 17793.750 MHz, 17795.500 MHz;TLM: 12697.500 MHz, 12698.500 MHz;",,False,CCSDS Standard,[],[],Telecommunications Satellite,http://www.telesat.com/en/Nimiq_Fleet,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.681175+00:00
Assigned,1.3.112.4.7.661,SWARM-A,Nicolas Bobrinsky  [European Space Agency],SWARM-A,[],,2010-04,,TC: 2025-2120 MHz;TLM: 2200-2290 MHz;,,False,CCSDS Standard,[],[],Geomagnetic LEO Constellation,http://www.esa.int/esaLP/ESA3QZJE43D_LPswarm_0.html,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.694239+00:00
Assigned,1.3.112.4.7.662,SWARM-C,Manfred Lugert  [European Space Agency],SWARM-C,[],Near Earth,2012-07,,TC: 2277 MHz;TLM: 2277 MHz;,,False,CCSDS Standard,[],[],Geomagnetic LEO Constellation,http://www.esa.int/esaLP/ESA3QZJE43D_LPswarm_0.html,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.707711+00:00
Assigned,1.3.112.4.7.663,SWARM-B,Nicolas Bobrinsky  [European Space Agency],SWARM-B,[],,2010-04,,TC: 2025-2120 MHz;TLM: 2200-2290 MHz;,,False,CCSDS Standard,[],[],Geomagnetic LEO Constellation,http://www.esa.int/esaLP/ESA3QZJE43D_LPswarm_0.html,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.720546+00:00
Assigned,1.3.112.4.7.664,GSAT0220,Manfred Lugert  [European Space Agency],GSAT0220,[],,2015,,"TC: Fuplink=[2048.877187+-n*2.826037]MHz, n=0,1,2,3,4;TLM: Fdownlink=[2225.025+-n*3.069]MHz, n=0,1,2,3,4;Fdownlink=(240/221)*Fuplink(coherent mode);",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.734684+00:00
Assigned,1.3.112.4.7.665,GSAT0221,Manfred Lugert  [European Space Agency],GSAT0221,[],,2015,,"TC: Fuplink=[2048.877187+-n*2.826037]MHz, n=0,1,2,3,4;TLM: Fdownlink=[2225.025+-n*3.069]MHz, n=0,1,2,3,4;Fdownlink=(240/221)*Fuplink(coherent mode);",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.748836+00:00
Assigned,1.3.112.4.7.666,GSAT0222,Manfred Lugert  [European Space Agency],GSAT0222,[],,2015,,"TC: Fuplink=[2048.877187+-n*2.826037]MHz, n=0,1,2,3,4;TLM: Fdownlink=[2225.025+-n*3.069]MHz, n=0,1,2,3,4;Fdownlink=(240/221)*Fuplink(coherent mode);",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.762776+00:00
Assigned,1.3.112.4.7.667,SKYBRASIL-1,Mr. Jean-Marc Soula  [Centre National d'Etudes Spatiales],SKYBRASIL-1,[],,,,TC: Ku-Band;TLM: Ku-Band;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.11,1.3.112.4.1.8,,[],1.3.112.4.2.11,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.777230+00:00
Assigned,1.3.112.4.7.668,GSAT0215,Manfred Lugert  [European Space Agency],GSAT0215,[],,2015,,"TC: Fuplink=[2048.877187+-n*2.826037]MHz, n=0,1,2,3,4;TLM: Fdownlink=[2225.025+-n*3.069]MHz, n=0,1,2,3,4;Fdownlink=(240/221)*Fuplink(coherent mode);",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.791781+00:00
Assigned,1.3.112.4.7.669,GSAT0216,Manfred Lugert  [European Space Agency],GSAT0216,[],,2015,,"TC: Fuplink=[2048.877187+-n*2.826037]MHz, n=0,1,2,3,4;TLM: Fdownlink=[2225.025+-n*3.069]MHz, n=0,1,2,3,4;Fdownlink=(240/221)*Fuplink(coherent mode);",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.805316+00:00
Assigned,1.3.112.4.7.670,GSAT0217,Manfred Lugert  [European Space Agency],GSAT0217,[],,2015,,"TC: Fuplink=[2048.877187+-n*2.826037]MHz, n=0,1,2,3,4;TLM: Fdownlink=[2225.025+-n*3.069]MHz, n=0,1,2,3,4;Fdownlink=(240/221)*Fuplink(coherent mode);",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.818465+00:00
Assigned,1.3.112.4.7.671,GSAT0218,Manfred Lugert  [European Space Agency],GSAT0218,[],,2015,,"TC: Fuplink=[2048.877187+-n*2.826037]MHz, n=0,1,2,3,4;TLM: Fdownlink=[2225.025+-n*3.069]MHz, n=0,1,2,3,4;Fdownlink=(240/221)*Fuplink(coherent mode);",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.832420+00:00
Assigned,1.3.112.4.7.672,GSAT0219,Manfred Lugert  [European Space Agency],GSAT0219,[],,2015,,"TC: Fuplink=[2048.877187+-n*2.826037]MHz, n=0,1,2,3,4;TLM: Fdownlink=[2225.025+-n*3.069]MHz, n=0,1,2,3,4;Fdownlink=(240/221)*Fuplink(coherent mode);",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.846198+00:00
Assigned,1.3.112.4.7.673,SWARM-EM,Nicolas Bobrinsky  [European Space Agency],SWARM-EM,[],,2010-04,,TC: 2025-2120 MHz Band;TLM: 2200-2290 MHz Band;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.70,1.3.112.4.1.12,,[],1.3.112.4.2.70,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.859724+00:00
Assigned,1.3.112.4.7.674,CHEOPS,Manfred Lugert  [European Space Agency],CHEOPS,['CHEOPS'],,2017-12-01,,TC: 2033.66;TLM: 2208.5;,None,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.877516+00:00
Assigned,1.3.112.4.7.675,APStar-9,Mr. Rusheng Zhang  [China National Space Administration],APStar-9,[],,2015-10-17,,TC: TC1=5850.3MHz(H); TC2=6425.5MHz(V);;TLM: TM1=3402MHz(V); TM2=3627MHz(V); TM3=4199.2MHz(H);,,False,CCSDS Standard,[],[],,,1.3.112.4.2.9,1.3.112.4.1.9,,[],1.3.112.4.2.9,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.893115+00:00
Assigned,1.3.112.4.7.676,POPSAT-HIP1,Gian Yi-Hisen  [OSTIN],POPSAT-HIP1,[],,"2013-Q3,Q4 - 2014-Q1,Q2",,TC: 437.405 MHz;TLM: 437.405 MHz;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.102,1.3.112.4.1.62,,[],1.3.112.4.2.102,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.906718+00:00
Assigned,1.3.112.4.7.677,O3B FM 13,Manfred Lugert  [European Space Agency],O3B-FM-13,[],,2018-01-01,,TC: 29088.5;TLM: 12298.8/12296.8;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.138,1.3.112.4.1.98,,[],1.3.112.4.2.138,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.919770+00:00
Assigned,1.3.112.4.7.678,ScatSat-1,Mr. L. Srinvasan  [Indian Space Research Organization],ScatSat-1,[],,2015-07-01,,TC: 2088.38;TLM: 2255.14; 8300;,Used for TTC and Payload data reception,False,CCSDS Standard,[],[],,,1.3.112.4.2.44,1.3.112.4.1.41,,[],1.3.112.4.2.44,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.934377+00:00
Assigned,1.3.112.4.7.679,TELSTAR 12N,Mr. Jean-Marc Soula  [Centre National d'Etudes Spatiales],TELSTAR-12N,[],,2015-10,,TC: Ku band;TLM: Ku band;,,False,CCSDS Standard,[],[],Communications Satellite,http://www.loralskynet.com/glb_fleet_12.asp,1.3.112.4.2.11,1.3.112.4.1.8,,[],1.3.112.4.2.11,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.947747+00:00
Assigned,1.3.112.4.7.680,Jupiter-2,Mr. Scott Galbraith  [National Aeronautics and Space Administration],Jupiter-2,[],,2016-03-01,,TLM: 19701 and 19703;,,False,CCSDS Standard,[],[],,,1.3.112.4.2.50,1.3.112.4.1.19,,[],1.3.112.4.2.50,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.961965+00:00
Assigned,1.3.112.4.7.681,SENTINEL-5 PRECU,Manfred Lugert  [European Space Agency],SENTINEL-5-PRECU,[],Near Earth,2015,,"TC: 2080.163 MHz, 2259 MHz;TLM: 2080.163 MHz, 2259 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.977271+00:00
Assigned,1.3.112.4.7.862,MEV-2,Mr. Scott Galbraith  [National Aeronautics and Space Administration],MEV-2,[],,2019-04-01,,"TC: 5925-6425, 13750-14500;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.122,1.3.112.4.1.80,,[],1.3.112.4.2.122,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:20.633430+00:00
Assigned,1.3.112.4.7.682,SES-10,Mr. Jean-Marc Soula  [Centre National d'Etudes Spatiales],SES-10,[],,2016-07-01,,TC: Ku;TLM: Ku;,"In order to guarantee a minimal hamming distance of 2 between all GSCIds of satellites controlled by the same operator (SES), the code 02D2 hexa would be perfect. If not possible to allocate that one, as per the table below, another code fulfilling the same constraint of a minimal distance of 2 would also work.

SCID	Hamming	       A1N	A2F	A2E	A2G	A5B	SES6	SES10
002C	A2B		7	8	7	4	3	6	8
01A2	A1M		8	5	6	3	4	7	5
0305	A3B		4	5	6	5	6	5	7
02D5	A1N		0	3	4	5	6	5	3
01D7	A2F		3	0	3	4	7	6	4
01D9	A2E		4	3	0	5	8	5	5
01B4	A2G		5	4	5	0	5	10	6
02AE	A5B		6	7	8	5	0	5	5
024B	SES6		5	6	5	10	5	0	4
02D2	SES10		3	4	5	6	5	4	0",False,CCSDS Standard,[],[],,,1.3.112.4.2.11,1.3.112.4.1.8,,[],1.3.112.4.2.11,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:17.991754+00:00
Assigned,1.3.112.4.7.683,TESS,Mr. Scott Galbraith  [National Aeronautics and Space Administration],TESS,[],,2017-01-01,,TC: S-band;,Mission needs both Version 1 and Version 2 IDs and has requested that the IDs differ by at least 3 bits. Simultaneous requests being submitted,False,CCSDS Standard,[],[],,,1.3.112.4.2.50,1.3.112.4.1.19,,[],1.3.112.4.2.50,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:18.007421+00:00
Assigned,1.3.112.4.7.684,EUTELSAT 65 WEST A,Manfred Lugert  [European Space Agency],EUTELSAT-65-WEST-A,[],,2016-01-01,,"TLM: 10949.700 MHz, 11200.300 MHz;",,False,CCSDS Standard,[],[],,,1.3.112.4.2.38,1.3.112.4.1.12,,[],1.3.112.4.2.38,2017-05-30 13:42:37.363846+00:00,,2021-05-14 17:58:18.021602+00:00
