Air.KAO         Kuiper Airborne Observatory 
OHP.1.2m        Observatoire de Haute-Provence/1.2 meter Telescope 
OHP.1.52m       Observatoire de Haute-Provence/1.52 meter Telescope 
OHP.1.93m       Observatoire de Haute-Provence/1.93 meter Telescope 
ORM.DOT         Observatorio del Roque de los Muchachos/DOT, Dutch Open Telescope 
ORM.HEGRA       Observatorio del Roque de los Muchachos/HEGRA, High Energy Gamma Ray Astronomy Experiment 
ORM.LT          Observatorio del Roque de los Muchachos/Liverpool Telescope 
ORM.MAGIC       Observatorio del Roque de los Muchachos/MAGIC, Major Atmospheric Gamma Imaging Cherenkov Telescope
ORM.MT          Observatorio del Roque de los Muchachos/Mercator Telescope 
ORM.NOT         Observatorio del Roque de los Muchachos/NOT, Nordic Optical Telescope 
ORM.SVST        Observatorio del Roque de los Muchachos/SVST, Swedish Vacuum Solar Telescope 
ORM.TNG         Observatorio del Roque de los Muchachos/TNG, Telescopio Nazionale Galileo 
OSO.20m         Onsala Space Observatory/20 meter Telescope 
OSO.25m         Onsala Space Observatory/25 meter Telescope 
OT.0.8m         Observatorio del Teide/80 cm Telescope 
OT.GCT          Observatorio del Teide/Gregory Coude Telescope 
OT.TCS          Observatorio del Teide/Carlos Sanchez Telescope
OT.THEMIS       Observatorio del Teide/THEMIS Telescope 
OT.VNT          Observatorio del Teide/Vacuum Newtoinian Telescope
OT.VSA          Observatorio del Teide/VSA, Very Small Array 
OT.VTT          Observatorio del Teide/Vacuum Tower Telescope 
OVRO.40m        Owens Valley Radio Observatory/40 meter Telescope 
OVRO.MA         Owens Valley Radio Observatory/Millimeter-wavelength Array
OVRO.SA         Owens Valley Radio Observatory/Solar Array
PBO.HPOL        Pine Bluff Observatory/HPOL Spectropolarimeter 
PO.48in         Palomar Observatory/48 inch Telescope 
PO.60in         Palomar Obseravtory/60 inch Telescope
PO.HALE         Palomar Observatory/Hale Telescope 
RO.1.0m         Ritter Observatory/1 meter Telescope 
Sa.ACE          ACE, Advanced Composition Explorer satellite 
Sa.ALEXIS       ALEXIS, Array of Low Energy X-ray Imaging Sensors satellite
